[12:58:04] Type: PROCESS_CREATED | Details: filecoauth | Severity: LOW
[EID-1037] [14:57:08] Type: PROCESS_CREATED | Details: explorer.exe -> cmd.exe | Severity: MEDIUM | MITRE: T1059.003 (Command and Scripting Interpreter: Windows Command Shell)
[EID-1038] [14:57:08] Type: PROCESS_CREATED | Details: svchost.exe -> windowsterminal.exe | Severity: LOW | MITRE: - (-)
[EID-1039] [14:57:08] Type: PROCESS_CREATED | Details: svchost.exe -> smartscreen.exe | Severity: LOW | MITRE: - (-)
[EID-1040] [14:57:14] Type: PROCESS_CREATED | Details: svchost.exe -> filecoauth.exe | Severity: LOW | MITRE: - (-)
[EID-1041] [14:59:51] Type: PROCESS_CREATED | Details: svchost.exe -> windowsterminal.exe | Severity: LOW | MITRE: - (-)
[EID-1042] [14:59:51] Type: PROCESS_CREATED | Details: explorer.exe -> cmd.exe | Severity: MEDIUM | MITRE: T1059.003 (Command and Scripting Interpreter: Windows Command Shell)
[EID-1043] [14:59:56] Type: PROCESS_CREATED | Details: svchost.exe -> filecoauth.exe | Severity: LOW | MITRE: - (-)
[EID-1044] [15:04:55] Type: PROCESS_CREATED | Details: searchindexer.exe -> searchprotocolhost.exe | Severity: LOW | MITRE: - (-)
[EID-1045] [15:05:01] Type: PROCESS_CREATED | Details: svchost.exe -> filecoauth.exe | Severity: LOW | MITRE: - (-)
[EID-1046] [15:15:30] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1047] [15:15:33] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
[EID-1048] [15:15:37] Type: PROCESS_CREATED | Details: svchost.exe -> filecoauth.exe | Severity: LOW | MITRE: - (-)
[EID-1049] [15:15:37] Type: PROCESS_CREATED | Details: svchost.exe -> dllhost.exe | Severity: LOW | MITRE: - (-)
[EID-1050] [15:15:37] Type: PROCESS_CREATED | Details: python.exe -> powershell.exe | Severity: MEDIUM | MITRE: T1059.001 (Command and Scripting Interpreter: PowerShell)
